id,name,description,order,unit_id,unit_rank_id,financial_year_id,rank_category_id,deleted_at,created_at,updated_at
32,C. CASE CLEARANCE RATE,CASE CLEARANCE RATE,4,NULL,4,4,5,NULL,5/23/2022 7:56,5/23/2022 7:56
33,D. CASE BACKLOG,D. CASE BACKLOG,5,NULL,4,4,5,NULL,5/23/2022 7:59,5/23/2022 7:59
34,E. COURT PRODUCTIVITY,E. COURT PRODUCTIVITY,6,NULL,4,4,5,NULL,5/23/2022 8:00,5/23/2022 8:00
35,F. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,7,NULL,4,4,5,NULL,5/23/2022 8:27,5/23/2022 8:27
36,A.1 EXPEDITIOUS DISPOSAL OF CASES,A.1 EXPEDITIOUS DISPOSAL OF CASES,1,NULL,5,4,6,NULL,5/23/2022 9:08,5/23/2022 9:08
37,A.2 COURT FILES INTEGRITY,COURT FILES INTEGRITY,2,NULL,5,4,6,NULL,5/23/2022 9:34,5/23/2022 9:34
38,B. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,3,NULL,5,4,6,NULL,5/23/2022 9:40,5/23/2022 9:40
39,C. CASE CLEARANCE RATE,C. CASE CLEARANCE RATE,4,NULL,5,4,6,NULL,5/23/2022 10:04,5/23/2022 10:04
40,D. CASE BACKLOG,D. CASE BACKLOG,5,NULL,5,4,6,NULL,5/23/2022 10:05,5/23/2022 10:05
41,E. COURT PRODUCTIVITY,COURT PRODUCTIVITY,6,NULL,5,4,6,NULL,5/23/2022 10:06,5/23/2022 10:06
42,F. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,7,NULL,5,4,6,NULL,5/23/2022 10:15,5/23/2022 10:15
43,F.SUPERVISION OF SUBORDINATE COURTS,F.SUPERVISION OF SUBORDINATE COURTS,8,NULL,5,4,6,NULL,5/23/2022 11:14,5/23/2022 11:14
44,A. EXPEDITIOUS DISPOSAL OF CASES,EXPEDITIOUS DISPOSAL OF CASES,1,NULL,7,4,7,NULL,5/23/2022 11:25,5/23/2022 11:54
45,B. TRIAL AND DELIVERY DATE CERTAINTY,B. TRIAL AND DELIVERY DATE CERTAINTY,2,NULL,7,4,7,NULL,5/23/2022 11:45,5/23/2022 11:45
46,C. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,3,NULL,7,4,7,NULL,5/23/2022 11:54,5/23/2022 11:54
47,A.1 EXPEDITIOUS DISPOSAL OF CASES- CASE LOAD,EXPEDITIOUS DISPOSAL OF CASES- CASE LOAD,1,NULL,7,4,8,NULL,5/23/2022 12:05,5/23/2022 12:07
48,A.2 EXPEDITIOUS DELIVERY OF JUSTICE -ADMINISTRATION,EXPEDITIOUS DELIVERY OF JUSTICE -ADMINISTRATION,2,NULL,7,4,8,NULL,5/23/2022 12:46,5/23/2022 12:46
49,A.3. COURT FILES INTEGRITY,COURT FILES INTEGRITY,3,NULL,7,4,8,NULL,5/23/2022 12:56,5/23/2022 12:56
50,C. FINANCIAL PERSPECTIVE,C. FINANCIAL PERSPECTIVE,5,NULL,7,4,8,NULL,5/23/2022 12:59,5/23/2022 13:19
51,D. CUSTOMER PERSPECTIVE,CUSTOMER PERSPECTIVE,6,NULL,7,4,8,NULL,5/23/2022 13:06,5/23/2022 13:18
52,E. INNOVATION AND LEARNING,INNOVATION AND LEARNING,7,NULL,7,4,8,NULL,5/23/2022 13:09,5/23/2022 13:18
53,F. INTERNAL PROCESSES,INTERNAL PROCESSES,8,NULL,7,4,8,NULL,5/23/2022 13:11,5/23/2022 13:18
54,B.  COURT INFRASTRUCTURE,B.  COURT INFRASTRUCTURE,4,NULL,7,4,8,NULL,5/23/2022 13:17,5/23/2022 13:19
66,A. EXPEDITIOUS DISPOSAL OF CASES,EXPEDITIOUS DISPOSAL OF CASES,1,NULL,7,5,7,NULL,5/24/2022 3:31,5/24/2022 3:31
67,B. TRIAL AND DELIVERY DATE CERTAINTY,B. TRIAL AND DELIVERY DATE CERTAINTY,2,NULL,7,5,7,NULL,5/24/2022 3:31,5/24/2022 3:31
68,C. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,3,NULL,7,5,7,NULL,5/24/2022 3:31,5/24/2022 3:31
69,A.1. EXPEDITIOUS DELIVERY OF JUSTICE,EXPEDITIOUS DELIVERY OF JUSTICE,1,NULL,6,5,2,NULL,5/24/2022 3:34,5/24/2022 3:34
70,A.2. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,2,NULL,6,5,2,NULL,5/24/2022 3:35,5/24/2022 3:35
71,A.3. COURT FILES INTEGRITY,COURT FILES INTEGRITY,3,NULL,6,5,2,NULL,5/24/2022 3:35,5/24/2022 3:35
72,B.  COURT INFRASTRUCTURE,COURT INFRASTRUCTURE,4,NULL,6,5,2,NULL,5/24/2022 3:35,5/24/2022 3:35
73,C. FINANCIAL PERSPECTIVE,FINANCIAL PERSPECTIVE,5,NULL,6,5,2,NULL,5/24/2022 3:35,5/24/2022 3:35
74,D. CUSTOMER PERSPECTIVE,CUSTOMER PERSPECTIVE,6,NULL,6,5,2,NULL,5/24/2022 3:35,5/24/2022 3:35
75,E. INNOVATION AND LEARNING,INNOVATION AND LEARNING,7,NULL,6,5,2,NULL,5/24/2022 3:35,5/24/2022 3:35
76,F. INTERNAL PROCESSES,INTERNAL PROCESSES,8,NULL,6,5,2,NULL,5/24/2022 3:35,5/24/2022 3:35
77,A.1 EXPEDITIOUS DISPOSAL OF CASES- CASE LOAD,EXPEDITIOUS DISPOSAL OF CASES- CASE LOAD,1,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
78,A.2 EXPEDITIOUS DELIVERY OF JUSTICE -ADMINISTRATION,EXPEDITIOUS DELIVERY OF JUSTICE -ADMINISTRATION,2,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
79,A.3. COURT FILES INTEGRITY,COURT FILES INTEGRITY,3,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
80,C. FINANCIAL PERSPECTIVE,C. FINANCIAL PERSPECTIVE,5,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
81,D. CUSTOMER PERSPECTIVE,CUSTOMER PERSPECTIVE,6,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
82,E. INNOVATION AND LEARNING,INNOVATION AND LEARNING,7,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
83,F. INTERNAL PROCESSES,INTERNAL PROCESSES,8,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
84,B.  COURT INFRASTRUCTURE,B.  COURT INFRASTRUCTURE,4,NULL,7,5,8,NULL,5/24/2022 3:50,5/24/2022 3:50
85,A . EXPEDITIOUS DISPOSAL OF CASES,EXPEDITIOUS DISPOSAL OF CASES,1,NULL,2,5,4,NULL,5/25/2022 13:47,5/25/2022 13:47
86,B. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,2,NULL,2,5,4,NULL,5/25/2022 13:47,5/25/2022 13:47
87,C. CASE CLEARANCE RATE,CASE CLEARANCE RATE,3,NULL,2,5,4,NULL,5/25/2022 13:47,5/25/2022 13:47
88,D. CASE BACKLOG,CASE BACKLOG,4,NULL,2,5,4,NULL,5/25/2022 13:47,5/25/2022 13:47
89,E. COURT PRODUCTIVITY,COURT PRODUCTIVITY,5,NULL,2,5,4,NULL,5/25/2022 13:47,5/25/2022 13:47
90,F. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,6,NULL,2,5,4,NULL,5/25/2022 13:47,5/25/2022 13:47
